Dose_mg,Dose_route,Schedule,Baseline_target,t_days,measurement
0.01,IV,Q3W,500.0,168.0,499.902839195574
0.012949258422052624,IV,Q3W,500.0,168.0,499.87415156023087
0.016768329368110083,IV,Q3W,500.0,168.0,499.8369950859232
0.021713743029375187,IV,Q3W,500.0,168.0,499.78882158680983
0.028117686979742307,IV,Q3W,500.0,168.0,499.72640067166003
0.03641031949310673,IV,Q3W,500.0,168.0,499.64545837615964
0.04714866363457394,IV,Q3W,500.0,168.0,499.54064325102013
0.061054022965853265,IV,Q3W,500.0,168.0,499.40435985448374
0.07906043210907701,IV,Q3W,500.0,168.0,499.2274734479895
0.10237739663395848,IV,Q3W,500.0,168.0,498.997761423594
0.13257113655901087,IV,Q3W,500.0,168.0,498.69898963629123
0.17166979066078603,IV,Q3W,500.0,168.0,498.309582460644
0.22229964825261944,IV,Q3W,500.0,168.0,497.80341530911204
0.2878615592354568,IV,Q3W,500.0,168.0,497.1405943163728
0.372759372031494,IV,Q3W,500.0,168.0,496.27568238398146
0.4826957437677871,IV,Q3W,500.0,168.0,495.1399354806415
0.6250551925273973,IV,Q3W,500.0,168.0,493.6420520640235
0.8094001216083124,IV,Q3W,500.0,168.0,491.6550379588534
1.0481131341546852,IV,Q3W,500.0,168.0,488.95596014039216
1.3572287829716538,IV,Q3W,500.0,168.0,485.0353720071057
1.7575106248547911,IV,Q3W,500.0,168.0,478.7913498171571
2.2758459260747887,IV,Q3W,500.0,168.0,468.10410261980195
2.9470517025518097,IV,Q3W,500.0,168.0,450.11522505001625
3.816213407949357,IV,Q3W,500.0,168.0,422.44979684454256
4.941713361323833,IV,Q3W,500.0,168.0,384.7172993543243
6.399152336349267,IV,Q3W,500.0,168.0,339.01735468406775
8.286427728546842,IV,Q3W,500.0,168.0,289.15342419647516
10.730309405261565,IV,Q3W,500.0,168.0,239.31365438544435
13.894954943731374,IV,Q3W,500.0,168.0,193.03644410647786
17.992936232915536,IV,Q3W,500.0,168.0,152.61028000738278
23.29951810515372,IV,Q3W,500.0,168.0,118.96001730569817
30.171148105292957,IV,Q3W,500.0,168.0,91.92304545224404
39.06939937054617,IV,Q3W,500.0,168.0,70.70157351390178
50.59197488435822,IV,Q3W,500.0,168.0,54.272943876936665
65.51285568595509,IV,Q3W,500.0,168.0,41.645358609417805
84.83428982440716,IV,Q3W,500.0,168.0,31.96853527508982
109.85411419875572,IV,Q3W,500.0,168.0,24.558479075939356
142.25293134853692,IV,Q3W,500.0,168.0,18.881649869131643
184.20699693267164,IV,Q3W,500.0,168.0,14.528548767116241
238.53440064314213,IV,Q3W,500.0,168.0,11.186839760828004
308.88435964774783,IV,Q3W,500.0,168.0,8.61886805854808
399.9823395608933,IV,Q3W,500.0,168.0,6.6436062238627125
517.9474679231213,IV,Q3W,500.0,168.0,5.123053655596292
670.7035611184313,IV,Q3W,500.0,168.0,3.9517612385556045
868.511373751352,IV,Q3W,500.0,168.0,3.049029905144297
1124.6578221198197,IV,Q3W,500.0,168.0,2.3529883752251064
1456.3484775012444,IV,Q3W,500.0,168.0,1.8161011650195358
1885.8632787726515,IV,Q3W,500.0,168.0,1.4018974814020073
2442.05309454865,IV,Q3W,500.0,168.0,1.082252912613003
3162.2776601683795,IV,Q3W,500.0,168.0,0.8355577648534697
0.01,IV,Q3W,1000.0,168.0,999.9206096767601
0.012949258422052624,IV,Q3W,1000.0,168.0,999.897178060303
0.016768329368110083,IV,Q3W,1000.0,168.0,999.8668237382747
0.021713743029375187,IV,Q3W,1000.0,168.0,999.8274991966776
0.028117686979742307,IV,Q3W,1000.0,168.0,999.7765457764928
0.03641031949310673,IV,Q3W,1000.0,168.0,999.7105004731745
0.04714866363457394,IV,Q3W,1000.0,168.0,999.6249993265876
0.061054022965853265,IV,Q3W,1000.0,168.0,999.5140955593029
0.07906043210907701,IV,Q3W,1000.0,168.0,999.3695352731119
0.10237739663395848,IV,Q3W,1000.0,168.0,999.1828949207905
0.13257113655901087,IV,Q3W,1000.0,168.0,998.9400936287544
0.17166979066078603,IV,Q3W,1000.0,168.0,998.6236292419633
0.22229964825261944,IV,Q3W,1000.0,168.0,998.2132986334339
0.2878615592354568,IV,Q3W,1000.0,168.0,997.6775476748784
0.372759372031494,IV,Q3W,1000.0,168.0,996.9709413568662
0.4826957437677871,IV,Q3W,1000.0,168.0,996.0664123629728
0.6250551925273973,IV,Q3W,1000.0,168.0,994.867931439314
0.8094001216083124,IV,Q3W,1000.0,168.0,993.2966585429224
1.0481131341546852,IV,Q3W,1000.0,168.0,991.2214515677703
1.3572287829716538,IV,Q3W,1000.0,168.0,988.4708266792744
1.7575106248547911,IV,Q3W,1000.0,168.0,984.7825354676812
2.2758459260747887,IV,Q3W,1000.0,168.0,979.6377658928362
2.9470517025518097,IV,Q3W,1000.0,168.0,971.5462251417143
3.816213407949357,IV,Q3W,1000.0,168.0,956.3123400818779
4.941713361323833,IV,Q3W,1000.0,168.0,925.080265077037
6.399152336349267,IV,Q3W,1000.0,168.0,866.5762063653402
8.286427728546842,IV,Q3W,1000.0,168.0,775.3872651890138
10.730309405261565,IV,Q3W,1000.0,168.0,658.8131192015296
13.894954943731374,IV,Q3W,1000.0,168.0,533.065278353895
17.992936232915536,IV,Q3W,1000.0,168.0,414.1103608038334
23.29951810515372,IV,Q3W,1000.0,168.0,312.34386808669876
30.171148105292957,IV,Q3W,1000.0,168.0,231.6378904701174
39.06939937054617,IV,Q3W,1000.0,168.0,170.8152982692645
50.59197488435822,IV,Q3W,1000.0,168.0,126.20202759857592
65.51285568595509,IV,Q3W,1000.0,168.0,93.75826551653232
84.83428982440716,IV,Q3W,1000.0,168.0,70.11271427200157
109.85411419875572,IV,Q3W,1000.0,168.0,52.75625803975376
142.25293134853692,IV,Q3W,1000.0,168.0,39.90931219300846
184.20699693267164,IV,Q3W,1000.0,168.0,30.32432222480799
238.53440064314213,IV,Q3W,1000.0,168.0,23.123304897628493
308.88435964774783,IV,Q3W,1000.0,168.0,17.681748375450557
399.9823395608933,IV,Q3W,1000.0,168.0,13.550587956200436
517.9474679231213,IV,Q3W,1000.0,168.0,10.40253701738162
670.7035611184313,IV,Q3W,1000.0,168.0,7.996478647954067
868.511373751352,IV,Q3W,1000.0,168.0,6.1533373017096284
1124.6578221198197,IV,Q3W,1000.0,168.0,4.738855884925123
1456.3484775012444,IV,Q3W,1000.0,168.0,3.651791450332431
1885.8632787726515,IV,Q3W,1000.0,168.0,2.8154617500876613
2442.05309454865,IV,Q3W,1000.0,168.0,2.171454411499798
3162.2776601683795,IV,Q3W,1000.0,168.0,1.6752550750401225
0.01,IV,Q3W,3000.0,168.0,2999.9603051431227
0.012949258422052624,IV,Q3W,3000.0,168.0,2999.9485953801554
0.016768329368110083,IV,Q3W,3000.0,168.0,2999.9334304863105
0.021713743029375187,IV,Q3W,3000.0,168.0,2999.9137897694886
0.028117686979742307,IV,Q3W,3000.0,168.0,2999.8883523496525
0.03641031949310673,IV,Q3W,3000.0,168.0,2999.8554014563974
0.04714866363457394,IV,Q3W,3000.0,168.0,2999.812717300579
0.061054022965853265,IV,Q3W,3000.0,168.0,2999.757415223559
0.07906043210907701,IV,Q3W,3000.0,168.0,2999.6857249799536
0.10237739663395848,IV,Q3W,3000.0,168.0,2999.5928231397643
0.13257113655901087,IV,Q3W,3000.0,168.0,2999.471887424279
0.17166979066078603,IV,Q3W,3000.0,168.0,2999.3162831311915
0.22229964825261944,IV,Q3W,3000.0,168.0,2999.1124201675716
0.2878615592354568,IV,Q3W,3000.0,168.0,2998.8505849297676
0.372759372031494,IV,Q3W,3000.0,168.0,2998.5089471855886
0.4826957437677871,IV,Q3W,3000.0,168.0,2998.0643901175645
0.6250551925273973,IV,Q3W,3000.0,168.0,2997.485700910867
0.8094001216083124,IV,Q3W,3000.0,168.0,2996.733621756398
1.0481131341546852,IV,Q3W,3000.0,168.0,2995.745795837167
1.3572287829716538,IV,Q3W,3000.0,168.0,2994.4567859661693
1.7575106248547911,IV,Q3W,3000.0,168.0,2992.768078539387
2.2758459260747887,IV,Q3W,3000.0,168.0,2990.542771319725
2.9470517025518097,IV,Q3W,3000.0,168.0,2987.6165906336637
3.816213407949357,IV,Q3W,3000.0,168.0,2983.7428343494225
4.941713361323833,IV,Q3W,3000.0,168.0,2978.5975647146374
6.399152336349267,IV,Q3W,3000.0,168.0,2971.7299064548297
8.286427728546842,IV,Q3W,3000.0,168.0,2962.3567573958208
10.730309405261565,IV,Q3W,3000.0,168.0,2947.818154331572
13.894954943731374,IV,Q3W,3000.0,168.0,2911.9318715551885
17.992936232915536,IV,Q3W,3000.0,168.0,2786.311735025062
23.29951810515372,IV,Q3W,3000.0,168.0,2434.9921496311404
30.171148105292957,IV,Q3W,3000.0,168.0,1850.4966187266823
39.06939937054617,IV,Q3W,3000.0,168.0,1259.2132685287559
50.59197488435822,IV,Q3W,3000.0,168.0,810.4233866230088
65.51285568595509,IV,Q3W,3000.0,168.0,513.4550055416934
84.83428982440716,IV,Q3W,3000.0,168.0,331.8226767412951
109.85411419875572,IV,Q3W,3000.0,168.0,222.38149331517357
142.25293134853692,IV,Q3W,3000.0,168.0,154.29420533336855
184.20699693267164,IV,Q3W,3000.0,168.0,110.01559433243709
238.53440064314213,IV,Q3W,3000.0,168.0,80.05080157215315
308.88435964774783,IV,Q3W,3000.0,168.0,59.121801991362204
399.9823395608933,IV,Q3W,3000.0,168.0,44.14715364786684
517.9474679231213,IV,Q3W,3000.0,168.0,33.23490734707577
670.7035611184313,IV,Q3W,3000.0,168.0,25.173051220504664
